attraction_id,name,country,province,city,price,rating,latitude,longitude,sentiment_y,popularity,normalized_popularity,sentiment_rating,popularity_rating,price_level
2148,victoria_sunset_whale-watching_cruise,canada,british_columbia,vancouver_island,2,5.0,48.4225678,-123.3824385,0.29269097866419297,14,-0.18896857454210983,OK,Popular,$$
2150,kicking_horse_river_rafting_family_adventure_including_bbq_lunch,canada,alberta,canadian_rockies,2,4.5,51.1772837,-115.5727351,0.3525532106782107,11,-0.24288191951439395,Good,Not Popular,$$
2151,elaho_whitewater_experience,canada,british_columbia,squamish,2,5.0,49.7416552,-123.1364209,0.4351534673409674,37,0.22436707024540165,Good,Very Popular,$$
2153,rafting_adventure_on_the_kicking_horse_river,canada,british_columbia,kootenay_rockies,2,5.0,51.3027849,-116.9478043,0.43079188209451363,19,-0.09911299958830298,Good,Popular,$$
2154,victoria_marine_wildlife_tour,canada,british_columbia,vancouver_island,2,5.0,48.4225678,-123.3824385,0.3823974358974359,13,-0.2069396895328712,Good,Not Popular,$$
2155,jasper_rafting_trip_on_athabasca_river_mile_5,canada,alberta,canadian_rockies,1,4.0,52.8753421,-118.0806243,0.52,2,-0.40462195443124627,Very Good,Not Popular,$
2157,vancouver_kayaking_tour,canada,british_columbia,vancouver,1,5.0,49.27173,-123.1366559,0.6128472222222222,3,-0.3866508394404849,Very Good,Not Popular,$
2158,3.5-hour_sunwapta_river_rafting_adventure_in_jasper,canada,alberta,canadian_rockies,2,5.0,52.8753421,-118.0806243,0.48000000000000004,1,-0.42259306942200764,Very Good,Not Popular,$$
2161,harbour_kayak_tour,canada,newfoundland_and_labrador,things_to_do_in_trinity,2,5.0,48.368514,-53.357835,0.48603395061728394,3,-0.3866508394404849,Very Good,Not Popular,$$
2162,vancouver_boat_rental_for_up_to_5_people,canada,british_columbia,vancouver,1,5.0,49.272817,-123.1364204,0.39512121212121215,5,-0.35070860945896215,Good,Not Popular,$
2166,full-day_mont-tremblant_rouge_river_rafting_tour_with_lunch,canada,quebec,mont_tremblant,2,5.0,46.2132909,-74.5849902,0.36,1,-0.42259306942200764,Good,Not Popular,$$
2171,whitewater_rafting_on_toby_creek,canada,british_columbia,kootenay_rockies,1,5.0,50.625361,-116.067952,0.3930379188712522,24,-0.009257424634496142,Good,Popular,$
2172,pemberton_half-day_trolling_tour,canada,british_columbia,whistler,3,5.0,50.322224,-122.807193,0.675,1,-0.42259306942200764,Very Good,Not Popular,$$$
2174,squamish_elaho_white-water_rafting_from_whistler,canada,british_columbia,squamish,2,5.0,49.749151,-123.133378,0.4675927804834055,8,-0.29679526448667803,Very Good,Not Popular,$$
